date,ticker,price
2023-11-20,AAPL,27.176948371074438
2023-11-21,AAPL,27.054335534021387
2023-11-22,AAPL,27.12488959369548
2023-11-23,AAPL,27.068739774418592
2023-11-24,AAPL,27.290252187187708
2023-11-27,AAPL,27.265369231107385
2023-11-28,AAPL,27.21636869973385
2023-11-29,AAPL,26.865641563230596
2023-11-30,AAPL,26.143609432807224
2023-12-01,AAPL,25.918706716478294
2023-12-04,AAPL,25.64584018900572
2023-12-05,AAPL,26.340322466171894
2023-12-06,AAPL,26.60459620606578
2023-12-07,AAPL,27.54709257800772
2023-12-08,AAPL,27.248338731139555
2023-12-11,AAPL,27.781767378553713
2023-12-12,AAPL,28.32069848521082
2023-12-13,AAPL,28.297952013471832
2023-12-14,AAPL,27.873565650492438
2023-12-15,AAPL,28.378235496723715
2023-12-18,AAPL,28.674855673376484
2023-12-19,AAPL,28.17545191215344
2023-12-20,AAPL,28.585854153193427
2023-12-21,AAPL,28.90893070423644
2023-12-22,AAPL,29.007109213710166
2023-12-25,AAPL,28.26620910341085
2023-12-26,AAPL,28.431206738911705
2023-12-27,AAPL,28.585509387198098
2023-12-28,AAPL,28.74619016866569
2023-12-29,AAPL,28.779025365731687
2024-01-01,AAPL,28.268868459817188
2024-01-02,AAPL,27.719015482996948
2024-01-03,AAPL,27.340763050865903
2024-01-04,AAPL,26.765923497644085
2024-01-05,AAPL,27.158298349372444
2024-01-08,AAPL,27.88693058152465
2024-01-09,AAPL,26.676066835703153
2024-01-10,AAPL,27.134428079030446
2024-01-11,AAPL,27.028017561246124
2024-01-12,AAPL,26.777493754724546
2024-01-15,AAPL,26.527429134771097
2024-01-16,AAPL,26.138701219158662
2024-01-17,AAPL,25.88906370481137
2024-01-18,AAPL,25.751659957072913
2024-01-19,AAPL,25.84765474761143
2024-01-22,AAPL,25.492142599726655
2024-01-23,AAPL,25.166364845188294
2024-01-24,AAPL,24.83910156565471
2024-01-25,AAPL,24.713658368711926
2024-01-26,AAPL,24.54404858477661
2024-01-29,AAPL,24.397624956696124
2024-01-30,AAPL,24.600493700162286
2024-01-31,AAPL,24.53993491595902
2024-02-01,AAPL,24.0380119165548
2024-02-02,AAPL,23.939145796170315
2024-02-05,AAPL,24.031276672747687
2024-02-06,AAPL,23.850686116988467
2024-02-07,AAPL,23.538712094120555
2024-02-08,AAPL,23.806038297860017
2024-02-09,AAPL,24.18991237291615
2024-02-12,AAPL,23.933339962713816
2024-02-13,AAPL,23.557619938610486
2024-02-14,AAPL,23.414030910409945
2024-02-15,AAPL,23.051632008159256
2024-02-16,AAPL,23.261204132146027
2024-02-19,AAPL,22.70697969506721
2024-02-20,AAPL,22.547054376651918
2024-02-21,AAPL,22.76039238319607
2024-02-22,AAPL,22.731768595738405
2024-02-23,AAPL,22.49751569327817
2024-02-26,AAPL,22.57710956909848
2024-02-27,AAPL,22.483465964893757
2024-02-28,AAPL,22.261340341409554
2024-02-29,AAPL,22.677246459602333
2024-03-01,AAPL,23.38497649041618
2024-03-04,AAPL,22.626895142680286
2024-03-05,AAPL,23.26327953857811
2024-03-06,AAPL,22.703387195350608
2024-03-07,AAPL,22.20076313674689
2024-03-08,AAPL,22.178973965828664
2024-03-11,AAPL,22.46353861093148
2024-03-12,AAPL,22.59651831790584
2024-03-13,AAPL,22.760004617974772
2024-03-14,AAPL,22.534256189884328
2024-03-15,AAPL,22.586371305614968
2024-03-18,AAPL,23.04991537766322
2024-03-19,AAPL,23.076711293086383
2024-03-20,AAPL,22.65508970380308
2024-03-21,AAPL,22.89278591168702
2024-03-22,AAPL,22.609132817834077
2024-03-25,AAPL,22.369975912548348
2024-03-26,AAPL,22.47797712781585
2024-03-27,AAPL,22.961362956023034
2024-03-28,AAPL,22.50645458952659
2024-03-29,AAPL,22.985665468239475
2024-04-01,AAPL,22.798551555781042
2024-04-02,AAPL,22.922320302425092
2024-04-03,AAPL,23.782976710915563
2024-04-04,AAPL,23.6931804939837
2024-04-05,AAPL,24.14751229547714
2024-04-08,AAPL,23.774833461014882
2024-04-09,AAPL,23.495749264387584
2024-04-10,AAPL,23.61104581601941
2024-04-11,AAPL,23.095394024917972
2024-04-12,AAPL,23.219950285832443
2024-04-15,AAPL,23.360389216237916
2024-04-16,AAPL,23.130569946060515
2024-04-17,AAPL,22.32059265968878
2024-04-18,AAPL,21.99802878185537
2024-04-19,AAPL,22.296801352769968
2024-04-22,AAPL,21.92543685107237
2024-04-23,AAPL,21.582138963882077
2024-04-24,AAPL,21.939046450550165
2024-04-25,AAPL,22.18105970648833
2024-04-26,AAPL,22.00184796661015
2024-04-29,AAPL,22.317956692213137
2024-04-30,AAPL,21.818958164333484
2024-05-01,AAPL,21.518904739900236
2024-05-02,AAPL,21.65921130537209
2024-05-03,AAPL,21.787207367052833
2024-05-06,AAPL,21.446664569358333
2024-05-07,AAPL,21.694740445998242
2024-05-08,AAPL,21.74950941506204
2024-05-09,AAPL,22.434564367228074
2024-05-10,AAPL,22.2737519764642
2024-05-13,AAPL,21.419125419346777
2024-05-14,AAPL,21.55831280946874
2024-05-15,AAPL,21.46040794044831
2024-05-16,AAPL,21.437893983621116
2024-05-17,AAPL,21.637719476858887
2024-05-20,AAPL,21.520409925738274
2024-05-21,AAPL,21.61329594360189
2024-05-22,AAPL,22.057953004953752
2024-05-23,AAPL,22.081135709577133
2024-05-24,AAPL,21.674111688415184
2024-05-27,AAPL,21.779208571868935
2024-05-28,AAPL,21.963592963269694
2024-05-29,AAPL,21.635025144778684
2024-05-30,AAPL,22.279674914799976
2024-05-31,AAPL,21.46360363858058
2024-06-03,AAPL,21.26591149020943
2024-06-04,AAPL,21.592807960818842
2024-06-05,AAPL,21.54148796066586
2024-06-06,AAPL,21.731959336522856
2024-06-07,AAPL,21.771349641187253
2024-06-10,AAPL,21.73561481742398
2024-06-11,AAPL,21.537186420151972
2024-06-12,AAPL,21.178096621555994
2024-06-13,AAPL,20.609608788095958
2024-06-14,AAPL,20.424696247594085
2024-06-17,AAPL,19.414202954333497
2024-06-18,AAPL,19.469927483573173
2024-06-19,AAPL,19.431127484896823
